reviewerid,movie-code,rating
0,7,1
0,13,1
0,14,0
0,15,0
0,16,2
0,18,1
0,25,2
0,39,1
0,51,1
0,56,2
0,68,0
0,70,1
0,72,0
0,73,2
0,74,1
0,75,0
0,80,0
0,82,2
0,83,2
0,84,2
0,85,2
0,86,0
0,87,0
0,92,2
0,106,1
0,111,0
0,126,1
0,127,1
0,128,1
0,134,1
0,148,0
0,150,0
0,162,2
0,167,0
0,169,2
1,2,2
1,3,1
1,4,2
1,5,1
1,6,2
1,12,0
1,19,0
1,34,1
1,43,0
1,56,0
1,57,1
1,58,0
1,60,0
1,64,1
1,70,2
1,78,2
1,89,1
1,92,2
1,93,2
1,94,2
1,99,2
1,101,2
1,102,2
1,109,2
1,115,1
1,119,1
1,120,2
1,129,0
1,130,2
1,134,1
1,148,2
1,149,2
1,155,2
1,156,1
1,157,2
1,158,1
1,170,2
2,3,0
2,5,1
2,6,1
2,31,0
2,38,0
3,4,1
3,6,1
3,14,2
3,15,0
3,18,0
3,23,0
3,25,0
3,49,1
3,51,1
3,56,0
3,57,0
3,58,0
3,174,1
4,4,1
4,5,1
4,6,0
4,8,0
4,12,0
4,13,2
4,15,0
4,16,1
4,18,1
4,19,0
4,21,1
4,27,1
4,29,0
4,30,1
4,31,1
4,32,1
4,38,0
4,42,0
4,44,1
4,48,1
4,49,0
4,51,0
4,54,0
4,58,1
4,60,2
4,67,2
4,68,0
4,74,0
4,78,0
4,83,1
4,88,2
4,91,0
4,92,1
4,101,0
4,104,0
4,106,0
4,110,0
4,112,0
4,116,0
4,121,1
4,124,1
4,128,0
4,129,0
4,130,0
4,136,1
4,140,0
4,142,0
4,143,1
4,150,0
4,158,0
4,161,0
4,165,1
4,171,0
4,172,0
4,175,0
4,178,0
4,179,1
4,180,0
4,181,0
4,182,1
4,188,0
4,190,0
4,193,0
4,194,0
4,195,0
4,196,0
4,199,2
5,1,1
5,25,1
5,27,2
5,28,2
5,42,2
5,78,1
5,79,2
5,84,1
5,87,1
5,101,1
5,103,2
5,108,2
5,109,0
5,111,2
5,126,0
5,127,1
5,128,0
5,129,0
5,130,2
5,131,1
5,154,1
5,157,0
5,175,0
6,5,0
6,6,2
6,7,2
6,9,2
6,11,0
6,12,0
6,18,1
6,19,0
6,21,1
6,22,2
6,23,0
6,24,0
6,25,1
6,28,0
6,32,0
6,37,2
6,38,1
6,42,1
6,48,0
6,49,1
6,50,0
6,51,1
6,54,1
6,68,0
6,74,0
6,75,0
6,77,0
6,78,1
6,79,1
6,90,0
6,95,1
6,97,1
6,98,1
6,99,2
6,101,0
6,102,1
6,103,1
6,106,1
6,110,1
6,118,0
6,121,2
6,124,0
6,125,1
6,126,1
6,129,1
6,130,2
6,138,0
6,147,1
6,148,0
6,150,0
6,154,1
6,155,0
6,158,0
6,159,0
6,163,1
6,167,0
6,168,0
6,170,0
6,171,1
6,174,0
6,175,0
6,176,0
6,178,0
6,185,2
6,192,2
6,193,2
6,194,0
6,196,1
6,200,1
7,1,1
7,13,0
7,14,0
7,15,0
7,18,0
7,21,1
7,24,2
7,31,0
7,32,0
7,36,0
7,40,1
7,41,1
7,44,1
7,48,0
7,49,2
7,53,1
7,55,0
7,70,1
7,76,1
7,83,1
7,85,0
7,88,1
7,92,1
7,95,0
7,97,0
7,106,2
7,107,1
7,108,0
7,110,0
7,115,0
7,121,2
7,128,1
7,130,0
7,133,0
7,136,0
7,137,0
7,138,0
7,140,0
7,152,0
7,153,0
7,165,1
7,172,0
7,173,0
7,175,0
7,178,1
7,179,2
7,185,0
7,197,0
8,1,1
8,6,0
8,12,1
8,19,1
8,26,0
8,29,0
8,31,0
8,36,1
8,38,0
8,52,0
8,54,2
8,55,1
8,68,0
8,70,1
8,73,0
8,82,2
8,85,1
8,86,1
8,92,0
8,100,1
8,102,0
8,106,0
8,107,1
8,109,2
8,112,0
8,115,1
8,116,0
8,121,1
8,124,1
8,126,0
8,129,2
8,136,0
8,145,0
8,148,0
8,150,0
8,156,1
8,157,1
8,159,0
8,161,2
8,166,1
8,170,0
8,171,0
8,173,2
8,175,1
8,178,0
8,180,0
8,192,2
8,193,2
8,199,2
9,3,1
9,5,0
9,6,1
9,24,1
9,25,1
9,26,1
9,38,1
9,49,1
9,53,0
9,84,1
9,85,1
9,88,1
9,90,0
9,92,0
9,101,1
9,107,1
9,109,2
9,110,0
9,112,1
9,118,1
9,121,1
9,123,1
9,124,1
9,125,1
9,129,0
9,130,1
9,133,2
9,135,0
9,145,0
9,151,1
9,152,0
9,156,1
9,163,0
9,165,1
9,175,1
9,177,0
9,197,0
9,199,1
10,1,1
10,3,0
10,5,1
10,13,1
10,16,0
10,21,1
10,24,2
10,27,2
10,31,2
10,32,1
10,36,2
10,38,0
10,39,1
10,42,1
10,44,2
10,45,0
10,46,1
10,50,0
10,51,0
10,53,0
10,58,0
10,60,1
10,61,0
10,64,0
10,70,2
10,72,0
10,74,0
10,75,0
10,82,1
10,83,0
10,88,1
10,90,1
10,95,2
10,100,0
10,102,2
10,109,0
10,113,0
10,115,1
10,116,1
10,121,1
10,129,1
10,130,1
10,133,2
10,136,1
10,139,0
10,142,0
10,143,1
10,148,0
10,150,0
10,151,1
10,152,1
10,159,0
10,176,0
10,180,0
10,181,0
10,182,1
10,184,1
10,185,1
10,190,0
10,196,1
10,199,2
11,5,2
11,6,1
11,8,0
11,15,0
11,19,2
11,21,0
11,27,1
11,32,0
11,35,0
11,36,0
11,38,0
11,42,0
11,49,0
11,50,0
11,51,1
11,55,0
11,56,0
